CustomerID,segment,Recency,Frequency,Monetary
CUST_0001,0,29,4,7109.45
CUST_0002,2,516,3,24058.55
CUST_0003,1,40,6,42862.54
CUST_0004,2,252,3,16826.78
CUST_0005,2,287,1,465.78
CUST_0006,2,273,1,2225.7
CUST_0007,1,35,7,41639.46
CUST_0008,1,16,7,43903.9
CUST_0009,1,49,7,48661.990000000005
CUST_0010,1,96,6,46584.11
CUST_0011,0,207,2,5915.26
CUST_0012,0,211,5,17176.0
CUST_0013,1,82,8,61063.66
CUST_0014,1,97,7,39523.68
CUST_0016,1,160,7,99978.39
CUST_0017,0,204,6,20198.76
CUST_0018,0,161,3,11410.739999999998
CUST_0019,1,5,6,43870.2
CUST_0020,0,108,3,26679.04
CUST_0021,0,211,5,15082.160000000002
CUST_0022,0,41,4,33650.68
CUST_0023,0,74,3,22610.16
CUST_0024,2,306,1,2724.12
CUST_0025,1,63,6,34204.28
CUST_0026,0,126,5,32209.9
CUST_0027,0,155,4,31569.65
CUST_0028,0,17,6,21818.78
CUST_0029,1,9,9,68584.53
CUST_0030,2,343,2,14008.62
CUST_0031,0,202,4,34000.01
CUST_0032,0,70,3,37699.79
CUST_0033,0,43,2,5020.4400000000005
CUST_0034,0,26,5,36868.21
CUST_0035,1,26,5,42674.45
CUST_0036,0,134,3,12163.669999999998
CUST_0037,0,94,2,26022.16
CUST_0038,0,165,4,25389.620000000003
CUST_0039,1,69,8,95703.79
CUST_0040,2,429,2,14408.080000000002
CUST_0041,2,574,1,214.58
CUST_0042,0,16,4,776.76
CUST_0043,2,346,1,542.64
CUST_0044,0,19,3,25766.78
CUST_0045,2,353,2,1327.56
CUST_0046,0,56,4,6300.4
CUST_0047,0,20,6,21269.14
CUST_0048,1,139,8,47698.34
CUST_0049,0,209,4,19968.76
CUST_0050,0,33,1,21234.84
CUST_0051,1,66,8,36506.380000000005
CUST_0052,2,355,2,23589.18
CUST_0053,1,125,8,44593.88
CUST_0054,0,1,3,25475.16
CUST_0055,0,212,5,27539.49
CUST_0056,1,82,6,37858.63
CUST_0057,2,349,4,31000.79
CUST_0058,1,34,8,35115.58
CUST_0059,0,202,3,8851.3
CUST_0060,0,94,2,10509.18
CUST_0061,0,116,4,12368.65
CUST_0062,0,229,4,46317.5
CUST_0063,2,327,3,28922.07
CUST_0064,0,164,4,7070.070000000001
CUST_0066,1,72,9,93356.36
CUST_0067,0,62,5,23205.91
CUST_0068,1,225,4,58031.72
CUST_0069,1,67,6,59161.34
CUST_0070,0,188,4,32860.05
CUST_0071,0,15,2,7371.51
CUST_0072,1,286,6,46639.39
CUST_0073,1,18,7,37556.59
CUST_0074,1,94,7,57534.36
CUST_0075,2,477,2,5126.28
CUST_0076,1,20,8,29755.36
CUST_0077,1,41,8,46311.99
CUST_0078,1,163,6,36531.6
CUST_0079,0,146,3,34411.86
CUST_0080,2,275,1,3408.4
CUST_0081,0,46,5,33252.94
CUST_0082,0,114,2,38892.72
CUST_0083,2,273,4,25679.35
CUST_0084,0,72,4,5608.75
CUST_0085,0,23,3,9149.06
CUST_0086,0,54,4,24767.86
CUST_0087,0,43,3,11883.45
CUST_0088,0,18,2,6815.24
CUST_0089,1,30,7,59632.0
CUST_0090,0,33,5,31070.45
CUST_0091,0,17,4,37670.73
CUST_0092,2,363,5,21328.19
CUST_0093,0,43,3,29180.89
CUST_0094,2,317,2,40640.08
CUST_0095,1,62,8,34720.22
CUST_0096,1,18,7,60279.98
CUST_0097,0,183,3,37484.16
