CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice
CUST_0103,2023-03-12,INV_000000,157,300.44
CUST_0122,2023-04-12,INV_000001,11,302.55
CUST_0664,2022-05-11,INV_000002,2,469.58
CUST_0386,2022-07-11,INV_000003,108,218.81
CUST_0561,2023-04-20,INV_000004,42,487.01
CUST_0783,2022-07-09,INV_000005,44,298.25
CUST_0131,2023-04-30,INV_000006,21,11.57
CUST_0601,2022-11-12,INV_000007,9,119.29
CUST_0092,2023-01-02,INV_000008,44,22.02
CUST_0206,2022-03-22,INV_000009,40,215.45
CUST_0566,2022-04-16,INV_000010,29,1662.7
CUST_0162,2022-07-21,INV_000011,14,166.64
CUST_0462,2023-12-28,INV_000012,40,374.92
CUST_0879,2022-02-22,INV_000013,25,273.63
CUST_0041,2022-06-06,INV_000014,1,214.58
CUST_0129,2023-10-10,INV_000015,11,357.11
CUST_0419,2022-10-16,INV_000016,42,62.36
CUST_0135,2022-07-20,INV_000017,34,188.56
CUST_0574,2023-12-29,INV_000018,44,444.17
CUST_0961,2023-09-05,INV_000019,181,282.83
CUST_0767,2023-02-02,INV_000020,9,59.89
CUST_0892,2023-04-06,INV_000021,32,160.61
CUST_0096,2023-04-30,INV_000022,45,105.52
CUST_0525,2022-06-09,INV_000023,22,314.06
CUST_0574,2023-10-08,INV_000024,44,446.82
CUST_0331,2023-10-02,INV_000025,28,453.88
CUST_0385,2023-01-12,INV_000026,13,8.44
CUST_0456,2023-02-15,INV_000027,37,138.36
CUST_0664,2023-01-09,INV_000028,24,185.0
CUST_0497,2023-03-18,INV_000029,89,153.93
CUST_0625,2022-03-22,INV_000030,2,30.48
CUST_0997,2022-08-13,INV_000031,2,226.65
CUST_0710,2023-02-20,INV_000032,11,124.87
CUST_0294,2022-10-07,INV_000033,34,270.21
CUST_0752,2022-05-24,INV_000034,6,429.89
CUST_0764,2023-02-07,INV_000035,19,52.61
CUST_0489,2023-10-02,INV_000036,40,173.83
CUST_0473,2022-05-31,INV_000037,42,331.69
CUST_0346,2023-09-16,INV_000038,49,51.09
CUST_0652,2023-03-29,INV_000039,9,351.68
CUST_0208,2022-05-11,INV_000040,33,46.65
CUST_0968,2023-02-24,INV_000041,20,189.28
CUST_0473,2022-04-09,INV_000042,196,276.62
CUST_0822,2022-06-12,INV_000043,41,13.95
CUST_0398,2022-10-04,INV_000044,8,330.52
CUST_0033,2023-11-19,INV_000045,22,125.77
CUST_0038,2022-08-18,INV_000046,8,398.43
CUST_0798,2023-09-01,INV_000047,33,362.61
CUST_0659,2023-05-31,INV_000048,49,497.3
CUST_0158,2023-04-22,INV_000049,6,12.65
CUST_0280,2022-12-15,INV_000050,31,1779.51
CUST_0191,2022-09-10,INV_000051,23,245.21
CUST_0018,2023-07-20,INV_000052,40,108.41
CUST_0943,2023-10-25,INV_000053,27,164.66
CUST_0104,2023-01-28,INV_000054,48,151.77
CUST_0538,2023-02-12,INV_000055,7,400.16
CUST_0321,2023-05-27,INV_000056,14,172.31
CUST_0092,2022-12-20,INV_000057,23,167.44
CUST_0698,2023-07-29,INV_000058,108,128.87
CUST_0682,2022-02-23,INV_000059,37,386.15
CUST_0620,2022-01-05,INV_000060,6,268.02
CUST_0047,2023-10-18,INV_000061,174,25.33
CUST_0120,2023-08-27,INV_000062,26,481.51
CUST_0791,2022-05-07,INV_000063,1,82.44
CUST_0802,2022-04-06,INV_000064,48,467.63
CUST_0897,2022-09-29,INV_000065,5,212.7
CUST_0076,2022-06-03,INV_000066,37,174.23
CUST_0220,2022-03-10,INV_000067,30,353.31
CUST_0204,2022-08-06,INV_000068,21,90.73
CUST_0734,2022-12-23,INV_000069,10,1830.02
CUST_0180,2022-08-11,INV_000070,19,428.96
CUST_0325,2023-05-31,INV_000071,16,18.12
CUST_0896,2022-06-09,INV_000072,24,288.82
CUST_0545,2023-11-22,INV_000073,12,480.79
CUST_0842,2022-02-12,INV_000074,13,191.74
CUST_0253,2023-05-14,INV_000075,23,162.89
CUST_0922,2023-08-25,INV_000076,41,347.98
CUST_0626,2023-05-08,INV_000077,36,483.95
CUST_0676,2023-01-29,INV_000078,24,495.3
CUST_0548,2022-04-06,INV_000079,32,217.35
CUST_0525,2022-10-06,INV_000080,41,269.49
CUST_0596,2023-12-30,INV_000081,19,10.36
CUST_0233,2022-03-17,INV_000082,28,1925.91
CUST_0851,2023-05-21,INV_000083,5,167.69
CUST_0891,2023-04-14,INV_000084,23,61.16
CUST_0693,2022-02-11,INV_000085,192,223.56
CUST_0215,2022-08-23,INV_000086,47,381.95
CUST_0492,2022-09-10,INV_000087,46,41.02
CUST_0946,2023-09-26,INV_000088,29,493.39
CUST_0496,2022-12-31,INV_000089,17,1979.0
CUST_0132,2022-03-11,INV_000090,19,281.41
CUST_0091,2023-12-15,INV_000091,39,130.57
CUST_0754,2022-08-08,INV_000092,20,63.18
CUST_0361,2022-01-01,INV_000093,28,1062.31
CUST_0369,2023-02-13,INV_000094,38,402.04
CUST_0685,2023-11-03,INV_000095,47,266.21
CUST_0203,2022-08-17,INV_000096,19,1284.65
CUST_0233,2022-11-01,INV_000097,31,1545.39
CUST_0259,2023-10-18,INV_000098,11,475.45
CUST_0968,2022-12-24,INV_000099,28,88.99
CUST_0676,2022-03-31,INV_000100,50,183.37
CUST_0740,2023-12-05,INV_000101,17,208.55
CUST_0461,2023-07-12,INV_000102,6,1588.58
CUST_0815,2023-03-26,INV_000103,30,27.38
CUST_0119,2023-01-09,INV_000104,32,1065.11
CUST_0282,2022-03-04,INV_000105,27,36.44
CUST_0105,2022-04-09,INV_000106,21,433.04
CUST_0977,2023-12-10,INV_000107,152,1377.72
CUST_0565,2023-11-08,INV_000108,19,228.02
CUST_0878,2022-01-01,INV_000109,54,337.49
CUST_0800,2022-02-03,INV_000110,8,251.59
CUST_0438,2022-04-28,INV_000111,50,278.19
CUST_0389,2023-02-05,INV_000112,47,393.41
CUST_0910,2023-08-01,INV_000113,39,12.2
CUST_0806,2022-11-02,INV_000114,30,50.05
CUST_0994,2022-11-04,INV_000115,33,201.29
CUST_0759,2022-04-16,INV_000116,5,232.38
CUST_0401,2022-11-26,INV_000117,20,490.12
CUST_0053,2023-03-26,INV_000118,43,174.07
CUST_0111,2023-10-25,INV_000119,31,350.35
CUST_0900,2022-12-26,INV_000120,25,239.61
CUST_0093,2023-11-03,INV_000121,19,175.82
CUST_0682,2023-06-18,INV_000122,1,181.22
CUST_0046,2023-06-30,INV_000123,26,24.46
CUST_0249,2022-02-16,INV_000124,47,82.7
CUST_0048,2023-07-27,INV_000125,36,375.39
CUST_0253,2023-11-23,INV_000126,22,381.18
CUST_0078,2022-08-04,INV_000127,26,129.96
CUST_0007,2022-01-03,INV_000128,46,20.08
CUST_0274,2023-05-21,INV_000129,15,370.02
CUST_0028,2023-12-15,INV_000130,17,167.11
CUST_0812,2023-06-21,INV_000131,20,180.78
CUST_0233,2022-04-19,INV_000132,36,295.49
CUST_0776,2023-01-04,INV_000133,42,184.73
CUST_0282,2022-11-16,INV_000134,45,467.18
CUST_0437,2023-10-24,INV_000135,6,84.54
CUST_0843,2023-03-22,INV_000136,31,421.95
CUST_0899,2022-08-31,INV_000137,37,668.06
CUST_0322,2023-04-13,INV_000138,54,487.66
CUST_0606,2023-05-19,INV_000139,2,287.95
CUST_0435,2022-06-22,INV_000140,6,1566.43
CUST_0724,2022-08-13,INV_000141,12,307.26
CUST_0320,2023-07-04,INV_000142,11,980.96
CUST_0259,2023-11-04,INV_000143,10,276.72
CUST_0898,2022-01-13,INV_000144,20,342.34
CUST_0785,2023-07-04,INV_000145,30,426.11
CUST_0956,2022-08-24,INV_000146,11,771.85
CUST_0547,2023-05-28,INV_000147,22,391.85
CUST_0779,2022-08-17,INV_000148,30,97.27
CUST_0851,2023-01-14,INV_000149,4,296.21
CUST_0402,2022-10-23,INV_000150,40,234.03
CUST_0422,2022-01-23,INV_000151,33,450.29
CUST_0503,2023-09-08,INV_000152,39,470.22
CUST_0391,2022-06-28,INV_000153,15,250.23
CUST_0478,2022-08-19,INV_000154,29,159.3
CUST_0997,2023-02-15,INV_000155,4,382.42
CUST_0635,2022-04-28,INV_000156,31,231.22
CUST_0948,2023-11-27,INV_000157,8,118.48
CUST_0844,2023-11-16,INV_000158,31,284.93
CUST_0794,2022-10-10,INV_000159,11,1013.79
CUST_0134,2023-12-13,INV_000160,26,730.03
CUST_0141,2023-09-08,INV_000161,25,364.42
CUST_0683,2023-04-05,INV_000162,48,461.64
CUST_0840,2022-05-07,INV_000163,28,39.12
CUST_0051,2022-01-29,INV_000164,41,1176.26
CUST_0814,2023-09-05,INV_000165,160,419.56
CUST_0001,2023-07-21,INV_000166,15,32.11
CUST_0137,2022-07-21,INV_000167,26,202.09
CUST_0537,2023-08-25,INV_000168,2,243.01
CUST_0347,2023-06-13,INV_000169,44,872.34
CUST_0025,2022-06-29,INV_000170,24,391.35
CUST_0662,2023-10-28,INV_000171,21,487.89
CUST_0361,2023-11-20,INV_000172,22,498.45
CUST_0561,2022-11-23,INV_000173,13,216.26
CUST_0952,2023-12-24,INV_000174,30,23.09
CUST_0286,2022-05-24,INV_000175,18,358.46
CUST_0194,2023-05-17,INV_000176,50,383.85
CUST_0644,2022-09-21,INV_000177,39,139.79
CUST_0979,2022-06-11,INV_000178,23,1759.68
CUST_0391,2022-12-15,INV_000179,3,337.59
CUST_0328,2022-02-23,INV_000180,37,328.11
CUST_0264,2023-02-22,INV_000181,24,428.57
CUST_0491,2023-03-28,INV_000182,21,165.38
CUST_0978,2022-01-07,INV_000183,33,18.13
CUST_0381,2023-07-02,INV_000184,18,409.63
CUST_0916,2023-06-07,INV_000185,2,21.94
CUST_0532,2022-09-18,INV_000186,30,431.23
CUST_0867,2023-05-15,INV_000187,158,434.89
CUST_0632,2022-02-28,INV_000188,32,16.12
CUST_0526,2023-06-05,INV_000189,45,112.92
CUST_0278,2022-08-23,INV_000190,26,89.98
CUST_0727,2022-03-16,INV_000191,21,251.55
CUST_0034,2022-01-17,INV_000192,38,107.18
CUST_0874,2022-12-08,INV_000193,31,300.72
CUST_0268,2023-03-31,INV_000194,17,194.65
CUST_0634,2023-07-12,INV_000195,43,49.72
CUST_0371,2022-01-29,INV_000196,40,458.18
CUST_0187,2022-08-15,INV_000197,47,702.5
CUST_0312,2022-10-16,INV_000198,47,299.56
CUST_0491,2023-05-22,INV_000199,34,239.75
CUST_0073,2023-12-14,INV_000200,1,345.76
CUST_0042,2022-01-25,INV_000201,3,6.16
CUST_0435,2023-04-23,INV_000202,12,50.33
CUST_0817,2022-01-17,INV_000203,105,47.92
CUST_0592,2022-08-04,INV_000204,31,331.1
